class,family,genus,id,kingdom,name,order,phylum
2,35,1,0,2,822,6,2
2,35,1,1,2,114,6,2
2,35,1,2,2,362,6,2
2,35,1,3,2,929,6,2
2,35,1,4,2,878,6,2
2,35,1,5,2,165,6,2
2,35,1,6,2,268,6,2
2,35,1,7,2,520,6,2
2,35,1,8,2,232,6,2
2,35,1,9,2,90,6,2
2,35,1,10,2,285,6,2
2,35,1,11,2,491,6,2
0,12,28,12,1,430,2,3
0,12,28,13,1,828,2,3
0,12,28,14,1,241,2,3
0,12,28,15,1,545,2,3
0,12,28,16,1,751,2,3
0,12,28,17,1,357,2,3
0,12,28,18,1,400,2,3
0,12,28,19,1,212,2,3
0,12,28,20,1,406,2,3
0,12,28,21,1,227,2,3
0,12,28,22,1,307,2,3
0,51,17,23,1,348,30,3
0,51,17,24,1,441,30,3
0,51,17,25,1,77,30,3
0,51,17,26,1,642,30,3
0,51,17,27,1,281,30,3
0,51,17,28,1,538,30,3
0,51,17,29,1,909,30,3
0,51,17,30,1,601,30,3
0,51,17,31,1,472,30,3
0,51,17,32,1,144,30,3
0,51,65,33,1,475,30,3
0,51,65,34,1,608,30,3
0,51,65,35,1,786,30,3
0,51,65,36,1,634,30,3
0,51,65,37,1,953,30,3
0,51,65,38,1,231,30,3
0,51,65,39,1,139,30,3
0,51,65,40,1,793,30,3
0,51,65,41,1,59,30,3
0,51,65,42,1,734,30,3
0,31,56,43,1,706,30,3
0,31,56,44,1,22,30,3
0,31,56,45,1,238,30,3
0,31,56,46,1,810,30,3
0,31,56,47,1,853,30,3
0,31,56,48,1,75,30,3
0,31,56,49,1,62,30,3
0,31,56,50,1,674,30,3
0,31,56,51,1,423,30,3
0,31,56,52,1,446,30,3
0,31,56,53,1,944,30,3
0,31,56,54,1,33,30,3
0,31,56,55,1,110,30,3
0,31,56,56,1,946,30,3
0,31,56,57,1,898,30,3
0,31,68,58,1,301,30,3
0,31,68,59,1,806,30,3
0,31,68,60,1,451,30,3
0,31,68,61,1,627,30,3
